Beat,Description,Grid,Occurence_Date,Offense_Category,Offense_Code,Offense_Ext,Police_District,Record_ID,Day_of_the_Week,Month,Year,Hour,Encoded_Beat
1C,459 PC BURG BUSINESS-FORCE,419,"Wed 01-15-2020, 01:22:00 AM",BURGLARY,2203,0,1,1432635,3,15,2020,01,2
1C,212.5(A)ROBBERY-INHAB DWELLING,449,"Wed 01-15-2020, 07:01:00 PM",ROBBERY,1299,3,1,1432639,3,15,2020,19,2
5B,484 PETTY THEFT/LICENSE PLATE,1621,"Thu 01-09-2020, 12:00:00 PM",LARCENY,2399,4,5,1432645,4,09,2020,12,13
3A,211 PC ROBBERY-UNSPECIFIED,701,"Wed 01-15-2020, 02:45:00 PM",ROBBERY,1299,0,3,1432646,3,15,2020,14,6
6D,484 PC PETTY THEFT,851,"Thu 01-09-2020, 03:05:00 PM",LARCENY,2399,2,6,1432654,4,09,2020,15,18
4C,484 PC PETTY THEFT,1265,"Mon 01-13-2020, 10:30:00 AM",LARCENY,2399,2,4,1432656,1,13,2020,10,11
5C,459 PC BURG VEHICLE,1637,"Tue 01-14-2020, 08:00:00 PM",BURGLARY,2299,01,5,1432662,2,14,2020,20,14
3A,484 PC PETTY THEFT,704,"Tue 01-14-2020, 02:45:00 PM",LARCENY,2399,2,3,1432663,2,14,2020,14,6
1B,484 PC PETTY THEFT,412,"Wed 01-15-2020, 06:00:00 PM",LARCENY,2399,2,1,1432669,3,15,2020,18,1
5B,459 PC BURG RESIDENCE-NO FORCE,1631,"Thu 01-09-2020, 12:00:00 AM",BURGLARY,2204,0,5,1432681,4,09,2020,00,13
6B,484 PC PETTY THEFT,1401,"Tue 01-14-2020, 11:11:00 AM",LARCENY,2399,2,6,1432687,2,14,2020,11,16
3B,487(A) PC GRAND THEFT >$950,746,"Wed 01-15-2020, 10:25:00 AM",LARCENY,2303,1,3,1432690,3,15,2020,10,7
5C,484 PC PETTY THEFT,1647,"Fri 01-10-2020, 11:30:00 AM",LARCENY,2399,2,5,1432691,5,10,2020,11,14
4C,484 PC PETTY THEFT,1292,"Thu 01-09-2020, 01:45:00 PM",LARCENY,2399,2,4,1432692,4,09,2020,13,11
4A,484 PETTY THEFT/LICENSE PLATE,923,"Wed 01-15-2020, 06:00:00 PM",LARCENY,2399,4,4,1432697,3,15,2020,18,9
5B,459 PC BURG VEHICLE,1399,"Thu 01-16-2020, 01:45:00 PM",BURGLARY,2299,01,5,1432706,4,16,2020,13,13
5B,487(A) PC GRAND THEFT >$950,1367,"Wed 01-15-2020, 09:00:00 AM",LARCENY,2303,1,5,1432710,3,15,2020,09,13
4A,459 PC BURG VEHICLE,928,"Wed 01-15-2020, 11:00:00 PM",BURGLARY,2299,01,4,1432718,3,15,2020,23,9
4C,1708 US THEFT OF MAIL,1247,"Thu 01-16-2020, 01:00:00 PM",LARCENY,2310,0,4,1432720,4,16,2020,13,11
5B,484 PETTY THEFT CLOUT UNLOCKED,1618,"Wed 01-15-2020, 09:00:00 PM",LARCENY,2305,0,5,1432721,3,15,2020,21,13
2A,459.5 BURGLARY SHOPLIFT < $950,232,"Thu 01-16-2020, 11:37:00 AM",BURGLARY,2205,3,2,1432729,4,16,2020,11,3
3B,459 PC BURG RESIDENCE-FORCE,767,"Mon 01-13-2020, 02:30:00 AM",BURGLARY,2202,0,3,1432730,1,13,2020,02,7
6C,459 PC BURG VEHICLE,1124,"Thu 01-16-2020, 09:30:00 AM",BURGLARY,2299,01,6,1432732,4,16,2020,09,17
5A,459 PC BURG VEHICLE,1364,"Thu 01-16-2020, 03:00:00 AM",BURGLARY,2299,01,5,1432734,4,16,2020,03,12
3M,459 PC BURG VEHICLE,742,"Sat 01-11-2020, 05:00:00 PM",BURGLARY,2299,01,3,1432738,6,11,2020,17,8
1B,484 PC PETTY THEFT,443,"Thu 01-09-2020, 05:30:00 PM",LARCENY,2399,2,1,1432747,4,09,2020,17,1
3B,459 PC BURG VEHICLE,726,"Thu 01-16-2020, 05:15:00 AM",BURGLARY,2299,01,3,1432748,4,16,2020,05,7
3B,459 PC BURG BUSINESS-FORCE,788,"Thu 01-16-2020, 10:10:00 AM",BURGLARY,2203,0,3,1432751,4,16,2020,10,7
5C,459 PC BURG RESIDENCE-FORCE,1637,"Wed 01-15-2020, 08:30:00 PM",BURGLARY,2202,0,5,1432769,3,15,2020,20,14
4A,484 PC PETTY THEFT,1204,"Thu 01-16-2020, 06:30:00 AM",LARCENY,2399,2,4,1432770,4,16,2020,06,9
3M,487(A) PC GRAND THEFT >$950,752,"Mon 01-13-2020, 03:30:00 PM",LARCENY,2303,1,3,1432799,1,13,2020,15,8
6B,484 PC PETTY THEFT,1067,"Thu 01-16-2020, 05:40:00 PM",LARCENY,2399,2,6,1432801,4,16,2020,17,16
6A,1708 US THEFT OF MAIL,1015,"Mon 01-13-2020, 09:17:00 AM",LARCENY,2310,0,6,1432802,1,13,2020,09,15
2C,484 PC PETTY THEFT,628,"Thu 01-16-2020, 04:50:00 PM",LARCENY,2399,2,2,1432803,4,16,2020,16,5
3M,484 PC PETTY THEFT,735,"Wed 01-15-2020, 06:30:00 PM",LARCENY,2399,2,3,1432804,3,15,2020,18,8
5B,211 PC ROBBERY-UNSPECIFIED,1622,"Thu 01-16-2020, 01:15:00 AM",ROBBERY,1299,0,5,1432815,4,16,2020,01,13
3A,602 PC TRESPASS,776,"Thu 01-16-2020, 06:36:00 PM",PRIVACY,5707,0,3,1432819,4,16,2020,18,6
2A,485 PC PETTY THFT LOST PROP-M,232,"Thu 01-16-2020, 12:18:00 PM",THEFT,2399,3,2,1432823,4,16,2020,12,3
2C,487(C) GRAND THEFT-PERS <$950,602,"Thu 01-16-2020, 01:27:00 PM",LARCENY,2301,0A,2,1432825,4,16,2020,13,5
5C,484 PETTY THEFT/LICENSE PLATE,1606,"Thu 01-16-2020, 03:44:00 PM",LARCENY,2399,4,5,1432830,4,16,2020,15,14
4C,459 PC BURG RESIDENCE-NO FORCE,1287,"Thu 01-16-2020, 07:42:00 PM",BURGLARY,2204,0,4,1432841,4,16,2020,19,11
5B,459 PC BURG VEHICLE,1369,"Fri 01-17-2020, 01:42:00 AM",BURGLARY,2299,01,5,1432850,5,17,2020,01,13
3B,459 PC BURG VEHICLE,748,"Fri 01-10-2020, 01:00:00 AM",BURGLARY,2299,01,3,1432864,5,10,2020,01,7
5B,484 PETTY THEFT/LICENSE PLATE,1621,"Wed 01-15-2020, 09:00:00 AM",LARCENY,2399,4,5,1432872,3,15,2020,09,13
6C,459 PC BURG RESIDENCE-NO FORCE,1405,"Fri 01-10-2020, 05:55:00 PM",BURGLARY,2204,0,6,1432919,5,10,2020,17,17
4B,O/S AGENCY  10851 VC LOCATE,969,"Tue 01-14-2020, 09:58:00 AM",AUTO THEFT,2404,13,4,1432924,2,14,2020,09,10
3B,459 PC BURG VEHICLE,747,"Thu 01-16-2020, 03:56:00 AM",BURGLARY,2299,01,3,1432929,4,16,2020,03,7
3A,459 PC BURG BUSINESS-FORCE,775,"Thu 01-16-2020, 07:30:00 PM",BURGLARY,2203,0,3,1432939,4,16,2020,19,6
4C,487(D)(2) GRAND THFT GUN <$950,1251,"Wed 01-08-2020, 03:00:00 AM",LARCENY,2399,32,4,1432940,3,08,2020,03,11
6A,O/S AGENCY  10851 VC LOCATE,1053,"Fri 01-17-2020, 04:20:00 AM",AUTO THEFT,2404,13,6,1432950,5,17,2020,04,15
6D,211 PC ROBBERY-BUSINESS,845,"Fri 01-17-2020, 08:44:00 PM",ROBBERY,1299,2,6,1432960,5,17,2020,20,18
3B,602(L)(1)TRESPASS REFUSE TO LV,748,"Fri 01-17-2020, 11:32:00 PM",TRESPASS,5707,6,3,1432963,5,17,2020,23,7
5A,484 PC THEFT-LIC PLATE TABS,1522,"Thu 01-16-2020, 11:42:00 PM",LARCENY,2399,5,5,1432964,4,16,2020,23,12
4A,484 PETTY THEFT CLOUT UNLOCKED,937,"Thu 01-16-2020, 12:10:00 AM",LARCENY,2305,0,4,1432980,4,16,2020,00,9
3M,459 PC BURG VEHICLE,731,"Fri 01-17-2020, 12:15:00 PM",BURGLARY,2299,01,3,1432981,5,17,2020,12,8
1A,459 PC BURG VEHICLE,338,"Thu 01-16-2020, 01:10:00 PM",BURGLARY,2299,01,1,1432984,4,16,2020,13,0
4A,487(A) PC GRAND THEFT >$950,904,"Sun 01-12-2020, 12:00:00 AM",LARCENY,2303,1,4,1432986,7,12,2020,00,9
2A,459.5 BURGLARY SHOPLIFT < $950,232,"Fri 01-17-2020, 09:05:00 AM",BURGLARY,2205,3,2,1432990,5,17,2020,09,3
3B,459 PC BURG VEHICLE,718,"Fri 01-17-2020, 01:00:00 AM",BURGLARY,2299,01,3,1432991,5,17,2020,01,7
4B,484 PC PETTY THEFT,958,"Thu 01-16-2020, 05:30:00 PM",LARCENY,2399,2,4,1432993,4,16,2020,17,10
4C,459 PC BURG VEHICLE,1287,"Fri 01-17-2020, 04:20:00 AM",BURGLARY,2299,01,4,1432994,5,17,2020,04,11
4C,459 PC BURG BUSINESS-FORCE,1247,"Fri 01-17-2020, 04:51:00 AM",BURGLARY,2203,0,4,1432996,5,17,2020,04,11
4C,459 PC BURG RESIDENCE-NO FORCE,1275,"Mon 01-06-2020, 10:00:00 AM",BURGLARY,2204,0,4,1433014,1,06,2020,10,11
5C,487(C) GRAND THEFT-PERS <$950,1623,"Fri 01-17-2020, 06:00:00 PM",LARCENY,2301,0A,5,1433019,5,17,2020,18,14
5A,459 PC BURG RESIDENCE-NO FORCE,1361,"Thu 01-16-2020, 03:00:00 AM",BURGLARY,2204,0,5,1433024,4,16,2020,03,12
6B,484 PETTY THEFT/LICENSE PLATE,1005,"Fri 01-17-2020, 06:30:00 PM",LARCENY,2399,4,6,1433035,5,17,2020,18,16
5A,484 PETTY THEFT/LICENSE PLATE,1506,"Fri 01-17-2020, 05:30:00 PM",LARCENY,2399,4,5,1433049,5,17,2020,17,12
1A,484 PC PETTY THEFT,301,"Mon 01-06-2020, 08:55:00 AM",LARCENY,2399,2,1,1433060,1,06,2020,08,0
6B,1708 US THEFT OF MAIL,1004,"Tue 01-14-2020, 06:35:00 PM",LARCENY,2310,0,6,1433068,2,14,2020,18,16
6B,484 PC PETTY THFT-RECYCL METAL,1084,"Fri 01-17-2020, 05:30:00 PM",LARCENY,2399,24,6,1433069,5,17,2020,17,16
4C,459 PC BURG VEHICLE,1287,"Wed 01-15-2020, 04:25:00 PM",BURGLARY,2299,01,4,1433072,3,15,2020,16,11
3B,459 PC BURG VEHICLE,747,"Fri 01-17-2020, 11:00:00 AM",BURGLARY,2299,01,3,1433073,5,17,2020,11,7
4A,1708 US THEFT OF MAIL,937,"Thu 01-16-2020, 05:52:00 PM",LARCENY,2310,0,4,1433075,4,16,2020,17,9
1B,459 PC BURG RESIDENCE-FORCE,435,"Fri 01-10-2020, 10:01:00 AM",BURGLARY,2202,0,1,1433076,5,10,2020,10,1
1A,459 PC BURG VEHICLE,337,"Wed 01-15-2020, 12:05:00 PM",BURGLARY,2299,01,1,1433086,3,15,2020,12,0
1B,459 PC BURG VEHICLE,442,"Thu 01-16-2020, 11:40:00 AM",BURGLARY,2299,01,1,1433089,4,16,2020,11,1
1B,459 PC BURG BUSINESS-FORCE,468,"Mon 01-13-2020, 05:00:00 PM",BURGLARY,2203,0,1,1433094,1,13,2020,17,1
5C,484 PETTY THEFT/LICENSE PLATE,1654,"Fri 01-17-2020, 07:50:00 PM",LARCENY,2399,4,5,1433096,5,17,2020,19,14
4A,459 PC BURG VEHICLE,909,"Fri 01-17-2020, 04:23:00 PM",BURGLARY,2299,01,4,1433101,5,17,2020,16,9
1B,487(A) PC GRAND THEFT >$950,468,"Mon 01-13-2020, 05:00:00 PM",LARCENY,2303,1,1,1433105,1,13,2020,17,1
1B,459 PC BURG BUSINESS-NO FORCE,442,"Fri 01-17-2020, 08:44:00 AM",BURGLARY,2205,0,1,1433106,5,17,2020,08,1
1A,459.5 BURGLARY SHOPLIFT < $950,327,"Sat 01-18-2020, 10:03:00 AM",BURGLARY,2205,3,1,1433110,6,18,2020,10,0
4C,602 PC TRESPASS,1287,"Sat 01-18-2020, 11:37:00 AM",PRIVACY,5707,0,4,1433115,6,18,2020,11,11
2C,459 PC BURG BUSINESS-FORCE,604,"Mon 01-13-2020, 09:30:00 AM",BURGLARY,2203,0,2,1433126,1,13,2020,09,5
6D,484 PC PETTY THEFT,841,"Thu 01-09-2020, 10:38:00 AM",LARCENY,2399,2,6,1433147,4,09,2020,10,18
5C,484 PETTY THEFT/LICENSE PLATE,1605,"Sat 01-18-2020, 03:51:00 PM",LARCENY,2399,4,5,1433149,6,18,2020,15,14
1A,211 PC ROBBERY-UNSPECIFIED,302,"Sat 01-18-2020, 04:01:00 PM",ROBBERY,1299,0,1,1433157,6,18,2020,16,0
4A,484 PETTY THEFT/LICENSE PLATE,905,"Sun 01-19-2020, 09:00:00 AM",LARCENY,2399,4,4,1433182,7,19,2020,09,9
5A,487(D)(2) GRAND THFT GUN >$950,1504,"Sat 01-18-2020, 10:00:00 PM",LARCENY,2399,31,5,1433183,6,18,2020,22,12
5A,484 PC PETTY THEFT,1391,"Sun 01-19-2020, 04:00:00 PM",LARCENY,2399,2,5,1433197,7,19,2020,16,12
6E,459 PC BURG BUSINESS-FORCE,1117,"Sat 01-18-2020, 01:39:00 AM",BURGLARY,2203,0,6,1433208,6,18,2020,01,19
2B,211 PC ROBBERY-UNSPECIFIED,537,"Sat 01-18-2020, 04:00:00 AM",ROBBERY,1299,0,2,1433209,6,18,2020,04,4
3B,459 PC BURG VEHICLE,746,"Fri 01-17-2020, 05:30:00 PM",BURGLARY,2299,01,3,1433210,5,17,2020,17,7
5A,484 PC PETTY THEFT AUTO PART,1391,"Sat 01-18-2020, 12:20:00 PM",LARCENY,2304,0,5,1433211,6,18,2020,12,12
3A,496(A) REC STOLEN PROP-FEL,704,"Wed 01-15-2020, 01:20:00 PM",STOLEN PROP,2803,0,3,1433214,3,15,2020,13,6
5A,459 PC BURG VEHICLE,1364,"Sun 01-19-2020, 12:32:00 AM",BURGLARY,2299,01,5,1433215,7,19,2020,00,12
2A,487(A) GRAND THEFT-INSIDE,504,"Sat 01-18-2020, 03:00:00 PM",LARCENY,2308,1,2,1433221,6,18,2020,15,3
3B,459 PC BURG VEHICLE,748,"Sun 01-19-2020, 09:18:00 AM",BURGLARY,2299,01,3,1433224,7,19,2020,09,7
6E,459 PC BURG RESIDENCE-FORCE,1115,"Sun 01-19-2020, 04:57:00 PM",BURGLARY,2202,0,6,1433225,7,19,2020,16,19
6A,211 PC ROBBERY-BUSINESS,1081,"Sat 01-18-2020, 06:32:00 PM",ROBBERY,1299,2,6,1433232,6,18,2020,18,15
2C,487(A) PC GRAND THEFT >$950,628,"Fri 01-17-2020, 06:05:00 PM",LARCENY,2303,1,2,1433256,5,17,2020,18,5
5C,211 PC ROBBERY-PURSE SNATCH,1644,"Sun 01-19-2020, 10:55:00 AM",ROBBERY,1210,0,5,1433260,7,19,2020,10,14
6E,459 PC BURG BUSINESS-FORCE,876,"Wed 01-08-2020, 07:20:00 AM",BURGLARY,2203,0,6,1433264,3,08,2020,07,19
4B,211 PC ROBBERY-PURSE SNATCH,969,"Sun 01-19-2020, 07:09:00 PM",ROBBERY,1210,0,4,1433265,7,19,2020,19,10
1A,459 PC BURG VEHICLE,337,"Sun 01-19-2020, 05:30:00 PM",BURGLARY,2299,01,1,1433270,7,19,2020,17,0
6C,459 PC BURG VEHICLE,1446,"Sun 01-19-2020, 01:30:00 PM",BURGLARY,2299,01,6,1433275,7,19,2020,13,17
6D,484 PC PETTY THEFT,802,"Fri 01-17-2020, 08:00:00 AM",LARCENY,2399,2,6,1433276,5,17,2020,08,18
6D,484 PETTY THEFT/LICENSE PLATE,825,"Sun 01-19-2020, 10:00:00 PM",LARCENY,2399,4,6,1433280,7,19,2020,22,18
6A,484 PETTY THEFT/LICENSE PLATE,1061,"Mon 01-20-2020, 01:45:00 PM",LARCENY,2399,4,6,1433291,1,20,2020,13,15
2C,459 PC BURG RESIDENCE-NO FORCE,604,"Fri 01-17-2020, 11:00:00 AM",BURGLARY,2204,0,2,1433294,5,17,2020,11,5
3M,459 PC BURG VEHICLE,751,"Sat 01-18-2020, 11:00:00 AM",BURGLARY,2299,01,3,1433295,6,18,2020,11,8
3A,484 PC PETTY THEFT,785,"Tue 01-14-2020, 12:00:00 AM",LARCENY,2399,2,3,1433296,2,14,2020,00,6
5B,459 PC BURG VEHICLE,1359,"Sun 01-19-2020, 12:45:00 PM",BURGLARY,2299,01,5,1433297,7,19,2020,12,13
2A,484 PC PETTY THEFT,212,"Mon 01-06-2020, 02:00:00 PM",LARCENY,2399,2,2,1433317,1,06,2020,14,3
2A,484 PC PETTY THEFT,232,"Fri 01-17-2020, 11:38:00 AM",LARCENY,2399,2,2,1433319,5,17,2020,11,3
1A,459 PC BURG VEHICLE,305,"Sun 01-19-2020, 09:32:00 AM",BURGLARY,2299,01,1,1433320,7,19,2020,09,0
6C,484 PETTY THEFT CLOUT UNLOCKED,1141,"Sun 01-19-2020, 11:30:00 AM",LARCENY,2305,0,6,1433321,7,19,2020,11,17
2C,484 PC PETTY THEFT,620,"Fri 01-17-2020, 12:24:00 PM",LARCENY,2399,2,2,1433322,5,17,2020,12,5
4C,459 PC BURG VEHICLE,1287,"Fri 01-17-2020, 06:00:00 PM",BURGLARY,2299,01,4,1433323,5,17,2020,18,11
5B,459 PC BURG VEHICLE,1616,"Mon 01-20-2020, 02:00:00 AM",BURGLARY,2299,01,5,1433324,1,20,2020,02,13
6A,484 PETTY THEFT/LICENSE PLATE,1013,"Mon 01-20-2020, 11:00:00 AM",LARCENY,2399,4,6,1433325,1,20,2020,11,15
6A,487(A) GRAND THFT-RECYCL METAL,1014,"Sat 01-18-2020, 10:20:00 PM",LARCENY,2399,23,6,1433326,6,18,2020,22,15
2A,459 PC BURG VEHICLE,505,"Sun 01-19-2020, 09:50:00 PM",BURGLARY,2299,01,2,1433327,7,19,2020,21,3
2A,459 PC BURG BUSINESS-FORCE,235,"Thu 01-16-2020, 06:00:00 PM",BURGLARY,2203,0,2,1433328,4,16,2020,18,3
6B,211 PC ROBBERY-PURSE SNATCH,1421,"Sun 01-19-2020, 11:51:00 AM",ROBBERY,1210,0,6,1433329,7,19,2020,11,16
3M,484 PC PETTY THEFT,734,"Sun 01-19-2020, 11:13:00 PM",LARCENY,2399,2,3,1433330,7,19,2020,23,8
3M,484 PC PETTY THEFT,732,"Sat 01-18-2020, 04:00:00 AM",LARCENY,2399,2,3,1433331,6,18,2020,04,8
2A,484 PC PETTY THEFT,232,"Sat 01-18-2020, 09:31:00 AM",LARCENY,2399,2,2,1433332,6,18,2020,09,3
6B,459 PC BURG VEHICLE,1068,"Fri 01-17-2020, 01:05:00 AM",BURGLARY,2299,01,6,1433333,5,17,2020,01,16
3M,484 PETTY THEFT-SHOPLIFT,742,"Mon 01-20-2020, 02:10:00 PM",LARCENY,2303,3,3,1433337,1,20,2020,14,8
2C,487(A) PC GRAND THEFT >$950,623,"Sat 01-18-2020, 04:08:00 PM",LARCENY,2303,1,2,1433345,6,18,2020,16,5
5C,487(A) PC GRAND THEFT >$950,1654,"Sat 01-18-2020, 10:00:00 PM",LARCENY,2303,1,5,1433347,6,18,2020,22,14
2C,459 PC BURG BUSINESS-FORCE,568,"Sat 01-11-2020, 12:00:00 AM",BURGLARY,2203,0,2,1433348,6,11,2020,00,5
1A,487(A) PC GRAND THEFT >$950,338,"Mon 01-20-2020, 01:21:00 PM",LARCENY,2303,1,1,1433350,1,20,2020,13,0
4A,484 PC PETTY THEFT,933,"Fri 01-03-2020, 12:35:00 PM",LARCENY,2399,2,4,1433351,5,03,2020,12,9
3M,484 PC PETTY THEFT,742,"Sat 01-18-2020, 09:10:00 PM",LARCENY,2399,2,3,1433354,6,18,2020,21,8
5C,602(K)TRESPASS:INJURE PROPERTY,1605,"Mon 01-20-2020, 01:50:00 PM",TRESPASS,5707,5,5,1433361,1,20,2020,13,14
5A,484 PETTY THEFT/LICENSE PLATE,1522,"Mon 01-20-2020, 02:00:00 PM",LARCENY,2399,4,5,1433362,1,20,2020,14,12
6C,211 PC ROBBERY-PURSE SNATCH,1443,"Sun 01-19-2020, 05:26:00 PM",ROBBERY,1210,0,6,1433364,7,19,2020,17,17
6D,459 PC BURG BUSINESS-FORCE,856,"Sat 01-18-2020, 02:50:00 AM",BURGLARY,2203,0,6,1433365,6,18,2020,02,18
4B,211 PC ROBBERY-PURSE SNATCH,1356,"Sun 01-19-2020, 03:39:00 PM",ROBBERY,1210,0,4,1433366,7,19,2020,15,10
6A,484 PETTY THEFT-SHOPLIFT,1015,"Mon 01-20-2020, 07:01:00 PM",LARCENY,2303,3,6,1433377,1,20,2020,19,15
2A,O/S AGENCY  10851 VC LOCATE,223,"Mon 01-20-2020, 02:59:00 PM",AUTO THEFT,2404,13,2,1433396,1,20,2020,14,3
2A,O/S AGENCY  10851 VC LOCATE,214,"Mon 01-06-2020, 10:42:00 PM",AUTO THEFT,2404,13,2,1433401,1,06,2020,22,3
3B,459 PC BURG VEHICLE,746,"Mon 01-20-2020, 06:30:00 PM",BURGLARY,2299,01,3,1433422,1,20,2020,18,7
5C,1708 US THEFT OF MAIL,1635,"Sat 01-18-2020, 12:00:00 PM",LARCENY,2310,0,5,1433430,6,18,2020,12,14
1B,459 PC BURG VEHICLE,440,"Sun 01-12-2020, 02:00:00 AM",BURGLARY,2299,01,1,1433432,7,12,2020,02,1
6C,459 PC BURG VEHICLE,1441,"Sat 01-18-2020, 04:05:00 PM",BURGLARY,2299,01,6,1433433,6,18,2020,16,17
6C,459 PC BURG BUSINESS-FORCE,1147,"Mon 01-20-2020, 09:08:00 PM",BURGLARY,2203,0,6,1433434,1,20,2020,21,17
4A,459 PC BURG BUSINESS-FORCE,908,"Mon 01-20-2020, 08:50:00 PM",BURGLARY,2203,0,4,1433435,1,20,2020,20,9
2C,459 PC BURG VEHICLE,614,"Mon 01-20-2020, 07:33:00 PM",BURGLARY,2299,01,2,1433436,1,20,2020,19,5
2C,487(A) PC GRAND THEFT >$950,611,"Sat 01-18-2020, 06:21:00 PM",LARCENY,2303,1,2,1433437,6,18,2020,18,5
2A,484 PC PETTY THEFT,232,"Mon 01-20-2020, 12:14:00 PM",LARCENY,2399,2,2,1433438,1,20,2020,12,3
5A,484 PC PETTY THEFT,1522,"Sat 01-18-2020, 02:00:00 PM",LARCENY,2399,2,5,1433439,6,18,2020,14,12
4A,459 PC BURG BUSINESS-FORCE,965,"Sat 01-18-2020, 01:00:00 PM",BURGLARY,2203,0,4,1433441,6,18,2020,13,9
1A,459 PC BURG VEHICLE,333,"Mon 01-20-2020, 02:30:00 PM",BURGLARY,2299,01,1,1433443,1,20,2020,14,0
4A,484 PETTY THEFT CLOUT UNLOCKED,1206,"Sat 01-18-2020, 09:10:00 AM",LARCENY,2305,0,4,1433444,6,18,2020,09,9
1C,459 PC BURG VEHICLE,429,"Sun 01-19-2020, 12:16:00 AM",BURGLARY,2299,01,1,1433445,7,19,2020,00,2
1A,459 PC BURG VEHICLE,305,"Mon 01-20-2020, 11:00:00 AM",BURGLARY,2299,01,1,1433446,1,20,2020,11,0
4B,459 PC BURG RESIDENCE-FORCE,1346,"Sun 01-19-2020, 01:45:00 AM",BURGLARY,2202,0,4,1433447,7,19,2020,01,10
1A,459 PC BURG BUSINESS-FORCE,104,"Wed 01-01-2020, 12:00:00 AM",BURGLARY,2203,0,1,1433449,3,01,2020,00,0
2A,459.5 BURGLARY SHOPLIFT < $950,232,"Mon 01-20-2020, 08:33:00 AM",BURGLARY,2205,3,2,1433450,1,20,2020,08,3
6A,487(D)(2) GRAND THFT GUN >$950,1014,"Mon 01-13-2020, 01:25:00 PM",LARCENY,2399,31,6,1433455,1,13,2020,13,15
3A,487(A) GRAND THEFT-AUTO PARTS,785,"Sat 01-18-2020, 05:00:00 PM",LARCENY,2304,1,3,1433458,6,18,2020,17,6
4A,484 PETTY THEFT CLOUT UNLOCKED,916,"Sun 01-19-2020, 11:00:00 PM",LARCENY,2305,0,4,1433463,7,19,2020,23,9
2A,487(A) GRAND THFT-RECYCL METAL,226,"Sun 01-19-2020, 02:25:00 AM",LARCENY,2399,23,2,1433464,7,19,2020,02,3
4C,459 PC BURG VEHICLE,1287,"Fri 01-17-2020, 04:00:00 AM",BURGLARY,2299,01,4,1433465,5,17,2020,04,11
4C,459 PC BURG VEHICLE,1251,"Mon 01-20-2020, 03:00:00 PM",BURGLARY,2299,01,4,1433468,1,20,2020,15,11
1B,487(A) PC GRAND THEFT >$950,440,"Mon 01-20-2020, 12:25:00 AM",LARCENY,2303,1,1,1433471,1,20,2020,00,1
4B,487(A) GRAND THFT-RECYCL METAL,1353,"Sun 01-19-2020, 11:00:00 AM",LARCENY,2399,23,4,1433472,7,19,2020,11,10
4B,484G PC THEFT BY CREDIT CARD,1354,"Mon 01-20-2020, 08:00:00 AM",THEFT,2605,13,4,1433479,1,20,2020,08,10
2C,459 PC BURG VEHICLE,619,"Sat 01-18-2020, 09:40:00 PM",BURGLARY,2299,01,2,1433481,6,18,2020,21,5
4C,459 PC BURG VEHICLE,1265,"Mon 01-20-2020, 05:00:00 PM",BURGLARY,2299,01,4,1433485,1,20,2020,17,11
6B,O/S AGENCY  10851 VC LOCATE,1401,"Tue 01-21-2020, 10:38:00 AM",AUTO THEFT,2404,13,6,1433512,2,21,2020,10,16
1C,215(A) PC CARJACKING,414,"Mon 01-20-2020, 10:55:00 PM",ROBBERY,1212,0,1,1433515,1,20,2020,22,2
5A,484 PC PETTY THEFT,1385,"Tue 01-14-2020, 10:30:00 PM",LARCENY,2399,2,5,1433541,2,14,2020,22,12
2A,484 PC PETTY THEFT,232,"Mon 01-20-2020, 08:33:00 AM",LARCENY,2399,2,2,1433543,1,20,2020,08,3
3B,484 PC PETTY THEFT,746,"Sun 01-19-2020, 02:11:00 AM",LARCENY,2399,2,3,1433547,7,19,2020,02,7
6C,459 PC BURG BUSINESS-FORCE,1443,"Fri 01-17-2020, 08:00:00 AM",BURGLARY,2203,0,6,1433551,5,17,2020,08,17
6A,1708 US THEFT OF MAIL,1001,"Fri 01-17-2020, 01:53:00 PM",LARCENY,2310,0,6,1433556,5,17,2020,13,15
5B,459 PC BURG VEHICLE,1359,"Sat 01-18-2020, 10:00:00 PM",BURGLARY,2299,01,5,1433559,6,18,2020,22,13
1A,487(A) PC GRAND THEFT >$950,328,"Thu 01-02-2020, 02:56:00 PM",LARCENY,2303,1,1,1433569,4,02,2020,14,0
6E,487(A) PC GRAND THEFT >$950,876,"Mon 01-20-2020, 06:05:00 PM",LARCENY,2303,1,6,1433572,1,20,2020,18,19
6B,484 PC PETTY THEFT,1401,"Tue 01-21-2020, 07:45:00 AM",LARCENY,2399,2,6,1433577,2,21,2020,07,16
4A,459 PC BURG VEHICLE,905,"Sun 01-19-2020, 04:15:00 PM",BURGLARY,2299,01,4,1433578,7,19,2020,16,9
6D,487(A) PC GRAND THEFT >$950,801,"Wed 01-01-2020, 10:05:00 AM",LARCENY,2303,1,6,1433579,3,01,2020,10,18
3M,459 PC BURG VEHICLE,734,"Mon 01-20-2020, 05:30:00 PM",BURGLARY,2299,01,3,1433580,1,20,2020,17,8
1A,459 PC BURG VEHICLE,145,"Sun 01-19-2020, 10:50:00 AM",BURGLARY,2299,01,1,1433581,7,19,2020,10,0
1A,459 PC BURG VEHICLE,333,"Tue 01-07-2020, 05:20:00 AM",BURGLARY,2299,01,1,1433583,2,07,2020,05,0
5B,211 PC ROBBERY-UNSPECIFIED,1631,"Fri 01-17-2020, 09:00:00 PM",ROBBERY,1299,0,5,1433587,5,17,2020,21,13
