Beat,Description,Grid,Occurence_Date,Offense_Category,Offense_Code,Offense_Ext,Police_District,Record_ID,Day_of_the_Week,Month,Year,Hour,Encoded_Beat
6A,1708 US THEFT OF MAIL,1051,"Wed 04-29-2020, 11:35:00 PM",LARCENY,2310,0,6,1452176,3,29,2020,23,15
6C,459 PC BURG VEHICLE,1422,"Fri 05-01-2020, 09:50:00 AM",BURGLARY,2299,01,6,1452177,5,01,2020,09,17
3B,487(A) PC GRAND THEFT >$950,746,"Wed 04-29-2020, 12:43:00 PM",LARCENY,2303,1,3,1452180,3,29,2020,12,7
6B,484 PC PETTY THEFT,1087,"Fri 05-01-2020, 06:04:00 AM",LARCENY,2399,2,6,1452185,5,01,2020,06,16
6C,487(A) PC GRAND THEFT >$950,1147,"Sun 04-26-2020, 02:00:00 AM",LARCENY,2303,1,6,1452191,7,26,2020,02,17
6C,487(A) PC GRAND THEFT >$950,1147,"Sun 04-26-2020, 02:00:00 AM",LARCENY,2303,1,6,1452192,7,26,2020,02,17
1A,484 PETTY THEFT CLOUT UNLOCKED,338,"Wed 04-01-2020, 03:00:00 PM",LARCENY,2305,0,1,1452193,3,01,2020,15,0
2C,459 PC BURG BUSINESS-FORCE,568,"Thu 04-02-2020, 02:50:00 PM",BURGLARY,2203,0,2,1452195,4,02,2020,14,5
1B,487(A) PC GRAND THEFT >$950,443,"Wed 04-29-2020, 09:00:00 PM",LARCENY,2303,1,1,1452196,3,29,2020,21,1
2B,484 PC PETTY THEFT,532,"Sat 04-25-2020, 06:30:00 AM",LARCENY,2399,2,2,1452197,6,25,2020,06,4
6A,484 PC PETTY THEFT,1053,"Tue 04-14-2020, 07:44:00 PM",LARCENY,2399,2,6,1452199,2,14,2020,19,15
2A,484 PETTY THEFT/LICENSE PLATE,221,"Mon 03-16-2020, 12:00:00 PM",LARCENY,2399,4,2,1452200,1,16,2020,12,3
5A,459 PC BURG VEHICLE,1502,"Sat 03-14-2020, 11:30:00 PM",BURGLARY,2299,01,5,1452201,6,14,2020,23,12
6D,487(A) PC GRAND THEFT >$950,824,"Thu 04-30-2020, 07:45:00 AM",LARCENY,2303,1,6,1452202,4,30,2020,07,18
2B,487(A) PC GRAND THEFT >$950,523,"Thu 04-30-2020, 11:05:00 AM",LARCENY,2303,1,2,1452203,4,30,2020,11,4
2A,496D(A) PURCH STLN VEH-FEL,505,"Sat 05-02-2020, 05:26:00 AM",STOLEN PROP,2803,04,2,1452205,6,02,2020,05,3
1B,459 PC BURG VEHICLE,403,"Mon 04-06-2020, 12:01:00 AM",BURGLARY,2299,01,1,1452209,1,06,2020,00,1
3B,459 PC BURG VEHICLE,718,"Sun 04-05-2020, 02:45:00 AM",BURGLARY,2299,01,3,1452212,7,05,2020,02,7
3B,484 PETTY THEFT CLOUT UNLOCKED,766,"Sun 04-05-2020, 12:20:00 PM",LARCENY,2305,0,3,1452223,7,05,2020,12,7
3B,459 PC BURG VEHICLE,746,"Tue 04-07-2020, 06:00:00 PM",BURGLARY,2299,01,3,1452241,2,07,2020,18,7
6B,602(M)TRESPASS OCCPY W/O CONSE,1006,"Fri 05-01-2020, 09:57:00 PM",TRESPASS,5707,64,6,1452247,5,01,2020,21,16
3B,484 PETTY THEFT/LICENSE PLATE,766,"Mon 04-27-2020, 04:30:00 PM",LARCENY,2399,4,3,1452249,1,27,2020,16,7
1A,459 PC BURG VEHICLE,123,"Tue 04-07-2020, 04:45:00 AM",BURGLARY,2299,01,1,1452264,2,07,2020,04,0
4C,459 PC BURG VEHICLE,1251,"Fri 04-03-2020, 02:00:00 PM",BURGLARY,2299,01,4,1452268,5,03,2020,14,11
4A,484 PETTY THEFT/LICENSE PLATE,955,"Sat 05-02-2020, 02:00:00 PM",LARCENY,2399,4,4,1452271,6,02,2020,14,9
4B,459.5 BURGLARY SHOPLIFT > $950,988,"Wed 04-22-2020, 06:55:00 PM",BURGLARY,2205,4,4,1452303,3,22,2020,18,10
1A,484 PC PETTY THEFT,106,"Tue 04-28-2020, 05:07:00 AM",LARCENY,2399,2,1,1452314,2,28,2020,05,0
6C,459 PC BURG VEHICLE,1403,"Sat 05-02-2020, 06:30:00 PM",BURGLARY,2299,01,6,1452344,6,02,2020,18,17
2C,211 PC ROBBERY-PURSE SNATCH,602,"Fri 05-01-2020, 03:43:00 PM",ROBBERY,1210,0,2,1452353,5,01,2020,15,5
6A,459 PC BURG BUSINESS-NO FORCE,1062,"Sun 05-03-2020, 05:51:00 AM",BURGLARY,2205,0,6,1452366,7,03,2020,05,15
3A,602(K)TRESPASS:INJURE PROPERTY,765,"Sun 05-03-2020, 09:44:00 AM",TRESPASS,5707,5,3,1452371,7,03,2020,09,6
2C,484 PETTY THEFT/LICENSE PLATE,612,"Sun 05-03-2020, 08:00:00 AM",LARCENY,2399,4,2,1452415,7,03,2020,08,5
1B,459 PC BURG RESIDENCE-FORCE,401,"Fri 03-13-2020, 12:00:00 AM",BURGLARY,2202,0,1,1452467,5,13,2020,00,1
6D,459 PC BURG RESIDENCE-FORCE,861,"Thu 04-30-2020, 06:48:00 PM",BURGLARY,2202,0,6,1452474,4,30,2020,18,18
3M,459 PC BURG BUSINESS-FORCE,734,"Fri 05-01-2020, 02:11:00 AM",BURGLARY,2203,0,3,1452476,5,01,2020,02,8
3M,459 PC BURG BUSINESS-FORCE,742,"Fri 05-01-2020, 04:39:00 AM",BURGLARY,2203,0,3,1452478,5,01,2020,04,8
2A,459 PC BURG RESIDENCE-FORCE,223,"Fri 05-01-2020, 06:29:00 AM",BURGLARY,2202,0,2,1452479,5,01,2020,06,3
3A,1708 US THEFT OF MAIL,776,"Sat 03-28-2020, 03:36:00 PM",LARCENY,2310,0,3,1452484,6,28,2020,15,6
6E,459 PC BURG RESIDENCE-FORCE,879,"Thu 04-30-2020, 08:30:00 AM",BURGLARY,2202,0,6,1452486,4,30,2020,08,19
3B,459 PC BURG RESIDENCE-NO FORCE,726,"Fri 05-01-2020, 07:00:00 AM",BURGLARY,2204,0,3,1452490,5,01,2020,07,7
5A,459 PC BURG RESIDENCE-FORCE,1396,"Sun 04-26-2020, 12:00:00 PM",BURGLARY,2202,0,5,1452494,7,26,2020,12,12
3B,459 PC BURG VEHICLE,718,"Fri 05-01-2020, 02:00:00 AM",BURGLARY,2299,01,3,1452496,5,01,2020,02,7
5C,484 PETTY THEFT/LICENSE PLATE,1647,"Fri 05-01-2020, 12:52:00 PM",LARCENY,2399,4,5,1452503,5,01,2020,12,14
3A,484 PETTY THEFT/LICENSE PLATE,762,"Fri 05-01-2020, 08:00:00 AM",LARCENY,2399,4,3,1452510,5,01,2020,08,6
2C,459 PC BURG BUSINESS-FORCE,625,"Thu 04-30-2020, 07:30:00 PM",BURGLARY,2203,0,2,1452513,4,30,2020,19,5
1B,602 PC TRESPASS,435,"Fri 05-01-2020, 03:58:00 PM",PRIVACY,5707,0,1,1452518,5,01,2020,15,1
2A,O/S AGENCY  10851 VC LOCATE,224,"Fri 05-01-2020, 04:36:00 PM",AUTO THEFT,2404,13,2,1452519,5,01,2020,16,3
6B,211 PC ROBBERY-PURSE SNATCH,1421,"Fri 05-01-2020, 04:49:00 PM",ROBBERY,1210,0,6,1452521,5,01,2020,16,16
2B,496(A) REC STOLEN PROP-FEL,541,"Fri 05-01-2020, 07:47:00 PM",STOLEN PROP,2803,0,2,1452539,5,01,2020,19,4
2A,211 PC ROBBERY-SHOPLIFT,233,"Fri 05-01-2020, 07:48:00 PM",ROBBERY,1203,0,2,1452541,5,01,2020,19,3
6C,211 PC ROBBERY-SHOPLIFT,1124,"Thu 04-30-2020, 10:00:00 PM",ROBBERY,1203,0,6,1452560,4,30,2020,22,17
2C,459 PC BURG BUSINESS-FORCE,625,"Fri 05-01-2020, 07:48:00 AM",BURGLARY,2203,0,2,1452574,5,01,2020,07,5
5B,1708 US THEFT OF MAIL,1621,"Fri 05-01-2020, 08:20:00 AM",LARCENY,2310,0,5,1452576,5,01,2020,08,13
1A,602 PC TRESPASS,145,"Sat 05-02-2020, 04:17:00 PM",PRIVACY,5707,0,1,1452592,6,02,2020,16,0
2A,459 PC BURG VEHICLE,233,"Mon 05-04-2020, 12:33:00 AM",BURGLARY,2299,01,2,1452601,1,04,2020,00,3
6C,O/S AGENCY  10851 VC LOCATE,1146,"Sat 05-02-2020, 11:02:00 AM",AUTO THEFT,2404,13,6,1452605,6,02,2020,11,17
5C,211 PC ROBBERY-UNSPECIFIED,1623,"Sat 05-02-2020, 12:28:00 PM",ROBBERY,1299,0,5,1452606,6,02,2020,12,14
