hotness_score,supply_score,demand_score,median_listing_price
70.68,75.37,65.99,260050
96.06,98.96,93.16,309550
95.99,94.59,97.39,624800
92.22,99.36,85.08,397025
91.64,91.53,91.74,465000
88.06,90.01,86.11,401799.5
88.04,82.81,93.28,570000
87.36,91.53,83.18,686550
87.08,95,79.15,344525
86.63,91.99,81.28,294537
84.24,88.49,79.98,385050
83.86,79.02,88.69,817550
82.38,91.03,73.74,339550
81.79,93.25,70.34,265550
81.52,88.49,74.54,279950
80.49,85.36,75.62,450050
80.02,81.63,78.41,265050
79.57,92.82,66.32,330050
79.57,90.6,68.53,268050
78.78,86.69,70.86,315045
78.56,90.6,66.52,258050
78.3,91.53,65.07,388455
77.36,89.48,65.24,265050
76.61,78.37,74.84,242500
71.51,81.12,61.9,248450
68.57,73.14,64.01,449000
94.71,92.71,96.7,599050
90.32,85.62,95.02,627550
89.84,94.66,85.02,279550
89.72,92.71,86.72,269050
89.55,90.27,88.83,467050
89.13,87.15,91.1,317500
85.97,90.84,81.1,274950
83.88,84.24,83.51,737050
83.78,95.05,72.52,275000
83.62,86.63,80.62,675957.5
82.43,87.72,77.14,335000
82.05,90.84,73.25,375550
80.52,86.2,74.83,234550
80.5,87.15,73.84,285944
80.27,90.84,69.71,339750
79.07,83.51,74.63,410049.5
78.5,89.21,67.78,259050
76.68,83.51,69.86,269050
75.5,88.26,62.74,341300
75.48,86.2,64.77,449050
75.12,81.54,68.7,319550
74.97,78.73,71.21,367300
69.23,83.51,54.96,255050
67.57,75.75,59.39,388050
48.52,23.08,73.96,450050
92.25,94.27,90.23,679050
90.24,93.41,87.07,599950
89.5,97.75,81.24,269050
89.34,94.27,84.42,480000
88.37,93.41,83.33,289050
87.7,97.16,78.25,290050
87.11,98.15,76.07,282050
85.57,87.8,83.34,749950
84.94,90.31,79.58,319050
84.6,88.99,80.21,230050
83.91,96.04,71.78,340050
83.3,90.31,76.28,409050
83.22,92.63,73.82,289050
80.14,92.31,67.96,325050
79.54,90.31,68.77,339050
79.32,97.34,61.29,599550
79.16,88.99,69.34,320050
78.91,95.15,62.67,399050
76.7,92.63,60.78,462050
76.64,83.84,69.44,671965
74.36,87.8,60.92,270550
72.24,80.33,64.15,255050
72.14,90.31,53.97,390687
71.4,92.63,50.18,250050
70.76,81.94,59.58,369050
35.15,7.89,62.4,475050
94.92,95.6,94.24,676550
92.15,96.42,87.88,485300
88.78,94.2,83.36,269950
86.55,97,76.09,349800
85.75,97.32,74.18,272050
85.73,96.42,75.04,288050
85.72,86.69,84.76,612050
84.74,94.54,74.94,329950
84,90.57,77.42,425000
83.68,92.89,74.48,290000
83.3,88.94,77.66,235043.5
81.89,98.8,64.99,382550
80.88,86.69,75.06,330000
79.48,84.72,74.24,349550
79.25,86.69,71.8,320045
79.15,87.72,70.58,288050
78.58,79.76,77.4,739999.5
78.16,94.91,61.41,438800
75.93,81.73,70.14,635277.5
74.39,88.27,60.51,273025
73.86,87.23,60.5,397550
72.32,82.24,62.39,379300
72.17,86.69,57.64,249950
71.97,81.07,62.87,260040
32.52,8.1,56.94,475050
93.56,96.56,90.55,271050
92.97,98.92,87.02,351450
90.4,91.59,89.21,486994
88.86,97.78,79.95,324550
88.12,92.72,83.53,385800
87.52,89.98,85.06,272300
87.31,92.12,82.51,413978.5
87.16,96.28,78.04,289050
87.04,92.12,81.96,319050
87.01,81.14,92.88,624550
86.81,88.84,84.77,332250
86.36,87.22,85.5,286300
83.13,77.05,89.2,619800
81.28,79.15,83.42,742550
79.9,82.5,77.3,289850
